objectid;nom_site;adresse;code_site;arrondissement;geo_shape;lat;lon
105;MEDIATHEQUE FRANCOISE SAGAN;8 RUE LEON SCHWARTZENBERG;PARIS_WIFI_1015;75010;"{""type"": ""Point"", ""coordinates"": [2.353834246182005, 48.87551395988317]}";48,87551396;2,353834246
108;BIBLIOTHEQUE FAIDHERBE;18, RUE FAIDHERBE;PARIS_WIFI_1102;75011;"{""type"": ""Point"", ""coordinates"": [2.383941226524652, 48.85159299158984]}";48,85159299;2,383941227
109;BIBLIOTHEQUE PARMENTIER;20, AVENUE PARMENTIER;PARIS_WIFI_1103;75011;"{""type"": ""Point"", ""coordinates"": [2.378966512859756, 48.860157858814006]}";48,86015786;2,378966513
111;JARDIN CITE PROST;17 RUE TITON;PARIS_WIFI_1105;75011;"{""type"": ""Point"", ""coordinates"": [2.385418337555292, 48.852155145386845]}";48,85215515;2,385418338
120;SQUARE JEAN AICARD;AVENUE JEAN AICARD;PARIS_WIFI_1114;75011;"{""type"": ""Point"", ""coordinates"": [2.380856400742501, 48.865823692965655]}";48,86582369;2,380856401
121;SQUARE LA PETITE ROQUETTE;4, RUE SERVAN;PARIS_WIFI_1115;75011;"{""type"": ""Point"", ""coordinates"": [2.38435591403956, 48.85912813911415]}";48,85912814;2,384355914
126;BIBLIOTHEQUE HELENE BERR - PICPUS 2;70, RUE DE PICPUS;PARIS_WIFI_1204;75012;"{""type"": ""Point"", ""coordinates"": [2.397539341572351, 48.84253907970061]}";48,84253908;2,397539342
129;CENTRE D'ANIMATION REUILLY;19, RUE HENARD;PARIS_WIFI_1208;75012;"{""type"": ""Point"", ""coordinates"": [2.389561870828768, 48.842449589982266]}";48,84244959;2,389561871
133;JARDIN ARSENAL;20, BOULEVARD DE LA BASTILLE;PARIS_WIFI_1212;75012;"{""type"": ""Point"", ""coordinates"": [2.36758641239213, 48.84891524878433]}";48,84891525;2,367586412
135;JARDIN CITE DEBERGUE;34, RUE DU RENDEZ VOUS;PARIS_WIFI_1214;75012;"{""type"": ""Point"", ""coordinates"": [2.404013531274078, 48.84657751256127]}";48,84657751;2,404013531
138;PARC DE BERCY (MAISON DU LAC);1, COUR CHAMONARD;PARIS_WIFI_1217;75012;"{""type"": ""Point"", ""coordinates"": [2.384846857533117, 48.83361412787135]}";48,83361413;2,384846858
142;PROMENADE PLANTEE;ALLEE VIVALDI;PARIS_WIFI_1221;75012;"{""type"": ""Point"", ""coordinates"": [2.395432506646558, 48.841248237449506]}";48,84124824;2,395432507
144;SQUARE CHARLES PEGUY;RUE ROTTEMBOURG;PARIS_WIFI_1223;75012;"{""type"": ""Point"", ""coordinates"": [2.406748751661989, 48.838741649276535]}";48,83874165;2,406748752
145;SQUARE SAINT ELOI;15, RUE SAINTE CLAIRE DEVILLE;PARIS_WIFI_1224;75012;"{""type"": ""Point"", ""coordinates"": [2.387108667209415, 48.84419225130575]}";48,84419225;2,387108667
159;JARDIN MOULIN DE LA POINTE;68, RUE DU MOULIN DE LA POINTE;PARIS_WIFI_1312;75013;"{""type"": ""Point"", ""coordinates"": [2.356734021103358, 48.82106084744979]}";48,82106085;2,356734021
176;SQUARE HENRI CADIOU;69, BOULEVARD ARAGO;PARIS_WIFI_1329;75013;"{""type"": ""Point"", ""coordinates"": [2.342434440920686, 48.83444345888076]}";48,83444346;2,342434441
178;SQUARE RENE LEGALL;43, RUE CORVISART;PARIS_WIFI_1331;75013;"{""type"": ""Point"", ""coordinates"": [2.348581529946448, 48.83164761741486]}";48,83164762;2,34858153
181;BIBLIOTHEQUE GEORGES BRASSENS;38, RUE GASSENDI;PARIS_WIFI_1401;75014;"{""type"": ""Point"", ""coordinates"": [2.325837664822957, 48.83376370043508]}";48,8337637;2,325837665
185;ESPACE ECONOMIE EMPLOI DU 14;13, RUE REMY DUMONCEL;PARIS_WIFI_1405;75014;"{""type"": ""Point"", ""coordinates"": [2.332542048099356, 48.8296812421623]}";48,82968124;2,332542048
193;PARC MONTSOURIS;2, RUE GAZAN;PARIS_WIFI_1413;75014;"{""type"": ""Point"", ""coordinates"": [2.339756210702759, 48.82396268559188]}";48,82396269;2,339756211
