objectid;nom_site;adresse;code_site;arrondissement;geo_shape;geo_point_2d
166;PARC DE CHOISY;160, AVENUE DE CHOISY;PARIS_WIFI_1319;75013;POINT(2.360801875316846 48.82744623607507);48.8274462361 2.36080187532
171;SQUARE PAUL GRIMAULT (ex FONTAINE A MULARD);20, RUE DE LA FONTAINE A MULARD;PARIS_WIFI_1324;75013;POINT(2.348504762785495 48.82302336850922);48.8230233685 2.34850476279
184;CONSEIL DE LA JEUNESSE;40, RUE DIDOT;PARIS_WIFI_1404;75014;POINT(2.319845259970973 48.83154279257775);48.8315427926 2.31984525997
190;MAISON DES ASSOCIATIONS DU 14;22, RUE DEPARCIEUX;PARIS_WIFI_1410;75014;POINT(2.325803079604429 48.8355887617045);48.8355887617 2.3258030796
197;SQUARE FERDINAND BRUNOT;PLACE FERDINAND BRUNOT;PARIS_WIFI_1417;75014;POINT(2.326849147868431 48.832315529214455);48.8323155292 2.32684914787
207;CENTRE SPORTIF SUZANNE LENGLEN (ENTREE);2, RUE LOUIS ARMAND;PARIS_WIFI_1508;75015;POINT(2.275694495982871 48.832479476457095);48.8324794765 2.27569449598
217;PARC GEORGES BRASSENS (ENTREE);2, PLACE JACQUES MARETTE;PARIS_WIFI_1519;75015;POINT(2.299936510734156 48.83162131473665);48.8316213147 2.29993651073
218;PARC GEORGES BRASSENS (ROTONDE);2, PLACE JACQUES MARETTE;PARIS_WIFI_1520;75015;POINT(2.300202096786847 48.83243922003396);48.83243922 2.30020209679
219;SQUARE ALLERAY LABROUSTE;92, RUE D'ALLERAY;PARIS_WIFI_1521;75015;POINT(2.308597392299752 48.83587463782668);48.8358746378 2.3085973923
223;SQUARE SAINT LAMBERT;1, RUE THEOPHRASTE  RENAUDOT;PARIS_WIFI_1525;75015;POINT(2.297709468637395 48.84250170153144);48.8425017015 2.29770946864
231;MAIRIE  16;71, AVENUE HENRI MARTIN;PARIS_WIFI_1607;75016;POINT(2.276602358325428 48.863946774156496);48.8639467742 2.27660235833
241;BIBLIOTHEQUE BROCHANT (COLETTE VIVIER);6, RUE FOURNEYRON;PARIS_WIFI_1702;75017;POINT(2.319571704772937 48.88979601929147);48.8897960193 2.31957170477
245;MAIRIE  17;16-20, RUE DES BATIGNOLLES;PARIS_WIFI_1706;75017;POINT(2.321815827318247 48.884490686848444);48.8844906868 2.32181582732
246;MAISON DES ASSOCIATIONS DU 17;25, RUE LANTIEZ;PARIS_WIFI_1707;75017;POINT(2.323732818292944 48.89502756640517);48.8950275664 2.32373281829
248;SQUARE DES EPINETTES;RUE MARIA DERAISMES;PARIS_WIFI_1709;75017;POINT(2.326895116534895 48.894926850990906);48.894926851 2.32689511653
256;BIBLIOTHEQUE MAURICE GENEVOIX;19, RUE TRISTAN TZARA;PARIS_WIFI_1803;75018;POINT(2.363791953571427 48.89498813043983);48.8949881304 2.36379195357
257;BIBLIOTHEQUE JACQUELINE DE ROMILLY;16, AVENUE DE LA PORTE DE MONTMARTRE (BINET);PARIS_WIFI_1804;75018;POINT(2.336229991735109 48.899772582083436);48.8997725821 2.33622999174
259;JARDIN D EOLE;18 BIS RUE DU DEPARTEMENT;PARIS_WIFI_1806;75018;POINT(2.36616899920839 48.88650552596441);48.886505526 2.36616899921
264;SQUARE LEON;PASSAGE LEON;PARIS_WIFI_1811;75018;POINT(2.35365438179993 48.88633987941649);48.8863398794 2.3536543818
273;BIBLIOTHEQUE CLAUDE LEVIS STRAUSS (EX : FLANDRE);35, AVENUE DE FLANDRE;PARIS_WIFI_1905;75019;POINT(2.371374493593859 48.8866810859574);48.886681086 2.37137449359
274;BIBLIOTHEQUE HERGE;2, RUE DU DEPARTEMENT;PARIS_WIFI_1906;75019;POINT(2.3672161609921583 48.885010846777334);48.8850108468 2.36721616099
275;BIBLIOTHEQUE PLACE DES FETES;18, RUE JANSSEN;PARIS_WIFI_1907;75019;POINT(2.39731691086378 48.879393003777956);48.8793930038 2.39731691086
278;MAIRIE  19;5, PLACE ARMAND CARREL;PARIS_WIFI_1910;75019;POINT(2.382045333421792 48.882808776877035);48.8828087769 2.38204533342
283;PARC DES BUTTES CHAUMONT (VILLETTE);7, RUE BOTZARIS;PARIS_WIFI_1915;75019;POINT(2.388431930028125 48.87977403278306);48.8797740328 2.38843193003
286;PARC DES BUTTES CHAUMONT (FESSARD);3, RUE BOTZARIS;PARIS_WIFI_1918;75019;POINT(2.380819513191617 48.87788873526401);48.8778887353 2.38081951319
288;SQUARE CLAUDE BERNARD (ex JARDIN D AUBERVILLIERS);BOULEVARD MACDONALD;PARIS_WIFI_1920;75019;POINT(2.374504111567543 48.89925587796653);48.899255878 2.37450411157
295;BIBLIOTHEQUE SORBIER;17, RUE SORBIER;PARIS_WIFI_2005;75020;POINT(2.392808658076997 48.86595354556543);48.8659535456 2.39280865808
300;JARDIN DES AMANDIERS;RUE DES CENDRIERS;PARIS_WIFI_2010;75020;POINT(2.387800280277418 48.86588685026362);48.8658868503 2.38780028028
307;PARC DE BELLEVILLE;45, RUE DES COURONNES;PARIS_WIFI_2017;75020;POINT(2.384166035407032 48.87126664697061);48.871266647 2.38416603541
310;PISCINE GEORGES VALLEREY;148, AVENUE GAMBETTA;PARIS_WIFI_2020;75020;POINT(2.406173234441528 48.87537547558354);48.8753754756 2.40617323444
